pat_id,title,total_sentences,key_verbs,key_nouns,technical_terms,causal_words_and_terms,failure_terms,variable_terms,primary_failure_pathways,verb_action_pathways
JP-3532094-B2,Monitoring device for water treatment equipment with membrane separation device,22,"obtain, mix, open, operate, change, recover, include, reflect, base, guide, set, display, require, form, judge, check, immerse, use, solve, separate, measure, communicate, dependent, have, settle, discharge, determine, treat, accord, depend, cause, return, act, increase, provide, prevent, represent, pass, remain, mention, supply, dispose, do, reduce, comprise, rise, monitor, perform, filter, flow, permeate, activate, record","pump, siphon, sedimentation, separation, problem, discharge, order, result, validity, maintenance, resistance, amount, diffusion, eeprom, diffuser, filtration, supply, flux, advance, button, operating, outside, index, switch, system, flow, surface, permeation, apparatus, blower, measurement, damage, monitoring, meter, interface, time, liquid, abnormality, conduit, output, pressure, membrane, air, data, treatment, solution, state, absence, rate, description, datum, tank, pipe, crystal, embodiment, supernatant, suction, indicator, ram, concentration, proportion, device, input, film, value, gauge, sludge, increase, period, circuit, calendar, sampling, history, invention, permeate, presence, outlet, model, viscosity, water, level, change, driving, thermometer, facility, gravity, aeration, port, cpu, contamination, communication, depth, temperature, image, total, like, head, sign, rom, operation, difference, control","conduit, gauge, discharge pipe, flow meter, pump, tank, siphon, pressure gauge, diffuser","while, therefore, increases, via, based on, prevented from, increase, may, determine, monitoring, causes, due to","contamination, checking","water level, temperature",tank ➔ [due to] ➔ contamination (x1),"[FLOW] ➔ tank ➔ contamination (x1), [REDUCE] ➔ tank ➔ contamination (x1)"
JP-3535663-B2,Rain water,14,"obtain, make, open, omit, guide, accumulate, punch, require, form, use, improve, have, drill, show, become, attach, move, eliminate, overlap, cause, arrange, mount, connect, increase, protrude, prevent, reduce, perform, flow, fit","wall, mm, water, trough, skill, adjuster, end, case, basin, masu, way, diameter, proximity, cost, rain, building, opening, joint, mud, handling, dirt, gutter, construction, gauze, body, hole, problem, portion, type, reduction, rainwater, plurality, formation, edge, lid, fitting, purpose, branch, saw, connection, cap, number, amount, fig, work, example, site, equipment, state, house, groove, direction, part, inflow, efficiency, decrease, strength, drainage, system, shape, accuracy, pipe, tank, material","tank, joint, basin","thus, caused by, becomes, therefore, common, increases, shape, via, requires, prevented from, may, used to, due to, causes, to prevent, thereby",,"rainwater, lid, rain",No sentence-level triplet found,No verb-component-failure triplet found
JP-3537134-B2,Environmental protection type waterway block and method of manufacturing the same,25,"make, change, enter, replace, space, live, respect, see, bury, place, surround, accumulate, put, limit, retain, form, check, bring, use, have, erect, invert, fall, call, show, become, find, widen, bind, view, affect, dissolve, leak, wrap, tend, die, arrange, breed, repeat, expose, grow, increase, protrude, provide, prevent, lift, remain, mention, protect, shape, escape, perform, occur, fit, instal, come, carry, consider, cover, advocate, melt, hit","wall, respect, contact, man, body, wire, result, portion, channel, addition, fitting, soil, grid, flow, circumference, section, outflow, surface, algae, piece, environment, pebble, packing, hook, block, time, plurality, degree, creation, work, state, direction, appearance, part, course, description, golf, waterway, lattice, child, aspect, sand, side, loss, gutter, construction, cross, sense, nature, timber, plate, location, ministry, beetle, period, groove, shape, installation, mold, invention, harmony, injury, gap, diversity, moss, structure, water, cutout, end, grass, place, leakage, concrete, wood, art, prevention, inclination, park, strangeness, metal, die, frog, bottom, figure, crane, connection, person, example, fig, interval, creature, scenery, pair, component, organism, river, fish, mode, plant, step","fittings, water channel","while, therefore, as a result, becomes, increases, shape, to prevent, used to, may, can occur, accumulate, because of, affect","lifting, leaks, checking, leak, leakage","nature, rivers, waterways",No sentence-level triplet found,No verb-component-failure triplet found
JP-3539459-B2,ORP sensor device for measuring strong electrolyzed water and ORP measuring method for strong electrolyzed water,23,"obtain, mix, make, produce, include, deposit, detect, base, fluctuate, drain, set, remove, drive, reverse, use, correspond, solve, communicate, measure, desire, sense, show, discharge, input, accord, depend, apply, denote, provide, compare, stop, shorten, introduce, supply, divide, dispose, reduce, meet, switch, flow, electrolyze, predetermine, control, generate, mean","drain, contact, way, use, while, agcl, problem, discharge, order, result, maintenance, beginning, amount, supply, numeral, distribution, flow, activation, path, consumption, surface, deposit, apparatus, cell, fluctuation, time, degree, pressure, membrane, application, air, pt, solution, anode, electrolyte, potential, part, rise, backwash, rate, ag, pipe, quality, comparison, tube, case, indicator, valve, unit, side, energization, device, value, reference, generator, chlorine, voltage, electrode, sensor, period, claim, invention, line, electrolysis, water, change, means, signal, cathode, port, cpu, ion, drawing, purpose, fig, container, chamber, suspension, control, orp, mean, instruction, processing, member","drain, sensor, chamber, valve","thus, corresponding to, reduces, obtained from, generated by, while, therefore, discharged to, based on, may, prior to, activation of, due to, via, remove","deposits, electrolysis",,"chamber ➔ [while] ➔ electrolysis (x2), chamber ➔ [thus] ➔ electrolysis (x2), sensor ➔ [prior to] ➔ electrolysis (x1)","[ELECTROLYZE] ➔ chamber ➔ electrolysis (x4), [GENERATE] ➔ chamber ➔ electrolysis (x3), [USE] ➔ chamber ➔ electrolysis (x3)"
JP-3543365-B2,Ionized water generator and pH sensor cleaning method,30,"open, integrate, detect, base, set, remove, drive, reach, display, require, elapse, form, close, interrupt, propose, continue, immerse, use, improve, delay, read, measure, fill, stir, circulate, become, discharge, determine, rotate, attach, affect, clean, lay, apply, describe, arrange, cause, soak, ionize, compare, provide, pass, prevent, supply, transmit, clog, suppress, perform, wash, adjust, flow, predetermine, instal, control, store, generate, send, overflow","hand, lapse, pump, space, drain, transducer, integrator, production, stirrer, problem, discharge, diaphragm, result, portion, channel, addition, vibration, technique, supply, advance, position, outside, flow, section, utility, response, path, motor, deposit, aggregate, apparatus, cell, measurement, fluctuation, hole, liquid, time, output, treatment, solution, anode, part, rate, pipe, tank, wastewater, overflow, mechanism, valve, display, unit, side, concentration, semiconductor, nozzle, device, type, plate, adhesion, generator, voltage, branch, method, electrode, ca, sensor, scale, installation, accuracy, blade, stirring, influence, controller, model, inside, electrolysis, water, injection, signal, drive, cathode, cleaning, ph, washing, ion, temperature, convection, connection, detection, chamber, operation, control, design, effect","control valve, discharge pipe, flow control valve, overflow pipe, pump, nozzle, sensor, valve, tank, drain, chamber","effect of, becomes, determines, due to, remove, thereby, while, requires, may, via, influence, thus, as a result, discharged to, based on, generated by, therefore, causes, affected","deposits, electrolysis","hand, temperature",sensor ➔ [remove] ➔ deposits (x1),"[REMOVE] ➔ sensor ➔ deposits (x1), [WASH] ➔ sensor ➔ deposits (x1)"
JP-3543787-B2,Anti-freeze water tap,13,"make, open, drain, remove, stay, require, close, seal, screw, correspond, measure, press, freeze, receive, discharge, attach, hinder, pull, cause, denote, provide, prevent, remain, complete, turn, fix, divide, advance, perform, escape, tighten, store","cylinder, surface, wall, water, receiving, end, base, stopper, valve, place, contact, seat, tap, breakage, measurement, side, screw, body, hole, temperature, packing, intake, bolt, result, reference, gauge, pressure, weight, periphery, air, plug, handle, amount, fig, work, stem, interval, sealing, diversion, freezing, detection, bar, numeral, distribution, direction, operation, occurrence, ball, decrease, passage, drainage, faucet, rod, pipe, flange, cover, mean, outlet, material","water intake, pressure gauge, valve, flange","corresponding to, occurrence, consequently, while, as a result, may, due to, via","freezing, breakage",temperature,No sentence-level triplet found,No verb-component-failure triplet found
JP-3545401-B2,Water management of fish ponds,12,"enter, predict, pump, break, fluctuate, accumulate, remove, vary, close, use, have, find, treat, nitrate, relate, contain, return, pass, sprinkle, introduce, reduce, fluidize, utilize, oxidize, send, mean, develop, nitrify","bed, column, water, denitrification, saltwater, rijn, supernatant, nitrogen, chain, volume, center, reactor, basin, sedimentation, culture, acid, bacteria, oxidation, action, diameter, height, concentration, pond, nitrification, settling, matter, cm, cultivation, order, retention, microorganism, carbon, hour, reduction, time, plurality, dioxide, ammonia, addition, bottom, year, source, nitrate, method, treatment, amount, stage, gas, goal, minute, applicant, rivera, day, farming, operating, filter, system, organic, fish, condition, control, tank, particle, quality, nitrite","sedimentation basin, tank","reduces, thus, pumped from, while, because, predict, break, may, accumulate, remove",oxidation,bed,No sentence-level triplet found,No verb-component-failure triplet found
JP-3545924-B2,Cleaning method inside the water supply pipe of a direct pressure water supply system,11,"open, operate, start, locate, pump, stand, say, remove, reach, feed, close, propose, use, solve, fill, compress, receive, clean, accord, consist, describe, raise, characterize, connect, provide, achieve, supply, maintain, comprise, generate, decrease, perform, flow, predetermine, pressurize, send, step","inside, water, start, household, receiving, feeder, end, process, pump, tube, valve, apparatus, tap, cleaning, unit, side, feed, aging, device, order, problem, meter, type, parent, time, adapter, plurality, pressure, removal, air, branch, method, amount, piping, supply, rust, home, ball, main, feeding, system, faucet, invention, detachment, past, pipe, tank, object, mean, step","water meter, water main, pump, valve, tank","thus, while, because, remove, due to, via, because of",rust,,No sentence-level triplet found,No verb-component-failure triplet found
JP-3546078-B2,Electrode type water treatment equipment with solution concentration detection function,6,"make, open, detect, base, set, intend, circulate, show, become, receive, accord, cause, prevent, supply, reduce, suppress, flow, predetermine, mean","water, change, means, signal, valve, apparatus, drive, adjusting, concentration, function, conductivity, enrichment, type, value, output, current, voltage, electrode, treatment, fig, solution, arrangement, advance, component, circulation, scale, solenoid, system, adjustment, precipitation, control","valve, solenoid valve","becomes, based on, may, causes, to prevent",,precipitation,No sentence-level triplet found,No verb-component-failure triplet found
JP-3546121-B2,Fluid pressure control device in pipeline,19,"need, open, give, produce, define, change, recover, include, detect, select, base, set, reach, vary, require, form, close, begin, inhibit, take, exceed, use, function, measure, consume, regulate, sense, become, shift, affect, heat, approach, accord, describe, arrange, realize, return, act, increase, provide, prevent, shut, achieve, execute, maintain, do, comprise, switch, rise, decrease, perform, establish, escape, adjust, control, store, generate, configure, mean","line, consumption, hand, change, water, embodiment, intervention, sequence, setting, middle, signal, vessel, valve, drain, vapor, cutoff, side, risk, unit, te, pipeline, limiter, opening, action, function, shutoff, variation, order, turbine, selector, consumer, destination, speed, value, output, switching, degree, pressure, generator, chi, selection, source, self, angle, amount, sensor, inconvenience, example, detection, steam, state, point, circuit, direction, supply, operation, operating, target, switch, term, adjustment, rate, series, flow, throttle, fluid, control, pipe, section, mean, outlet, controller, changeover","pipeline, vessel, sensor, valve, drain, pressure sensor","thus, becomes, therefore, while, because, increases, based on, configured to, may, to prevent, affected",,"hand, hydraulic pressure",No sentence-level triplet found,No verb-component-failure triplet found
JP-3549292-B2,How to prevent turbid water,11,"obtain, implement, collect, slide, base, surround, polymerize, spray, have, determine, disappear, dry, entrain, follow, apply, contain, relate, characterize, provide, sprinkle, prevent, represent, perform, flow, generate","surface, dust, water, earthworks, spraying, monomer, manner, initiator, rainfall, respect, sand, destruction, formula, rain, height, railroad, chemical, watering, resin, environment, turbidity, cm, order, polymer, hour, total, liquid, rainwater, time, landslide, slope, polymerization, addition, soil, weight, road, area, method, amount, treatment, earth, example, weir, site, diluent, ground, minute, part, deterioration, configuration, wind, floor, invention, content, extent, paddy, particle, object, effect, outflow, pipe, generation, tank, field, emulsion","weir, tank","generated by, while, therefore, based on, determine, due to, to prevent",,"rainwater, landslide, urban areas, wind, rainfall, rain",No sentence-level triplet found,No verb-component-failure triplet found
JP-3551073-B2,Water quality meter and water quality monitoring system,23,"obtain, defoame, need, mix, enter, say, sample, drain, guide, back, accumulate, compose, remove, use, correspond, communicate, have, measure, drink, expect, become, discharge, clean, meter, accord, analyze, consist, apply, contain, branch, mount, characterize, connect, provide, increase, pass, purify, discard, introduce, supply, transmit, maintain, reduce, comprise, suppress, lead, decrease, perform, monitor, flow, wash, predetermine, instal, correct, store, control, generate, configure, send, peel","hand, wall, adherence, telemeter, pump, drain, hydrant, opening, network, bonding, shutoff, problem, order, result, consumer, portion, sunlight, reaction, collection, channel, management, addition, business, bubble, size, supply, rust, distribution, position, substance, system, flow, section, vegetable, mixing, path, region, reagent, waste, sample, center, simplicity, cartridge, rain, measurement, cell, hole, sterilization, monitoring, purification, meter, liquid, time, plurality, degree, pressure, work, accordance, provider, house, point, cycle, chromaticity, part, solenoid, rate, customer, power, box, pipe, tank, quality, turbidity, company, motherboard, minute析項eyes, fire, lake, valve, well, unit, side, vacuum, concentration, pipeline, item, battery, chlorine, establishment, service, voltage, piping, groove, claim, sampling, passage, drainage, wafer, wash, installation, introduction, stain, water, receiving, means, end, signal, place, manhole, facility, cleaning, washing, contamination, analyzer, inlet, temperature, total, drinking, storage, analysis, example, nighttime, marsh, equipment, container, arrangement, mineral, apartment, river, control, member","distribution network, water meter, pipe wall, pipeline, fire hydrant, pump, inlet, valve, tank, drain, manhole, metering pump, solenoid valve, piping network","corresponding to, generated by, while, becomes, discharged to, common, increases, therefore, used to, may, monitoring, via, remove, due to, accumulate","rust, contamination","hand, rivers, rain, temperature","pipe wall ➔ [increases] ➔ rust (x1), pipe wall ➔ [due to] ➔ rust (x1), pipeline ➔ [increases] ➔ rust (x1)","[CONTAIN] ➔ pipe wall ➔ rust (x1), [CONTAIN] ➔ pipeline ➔ rust (x1), [DECREASE] ➔ pipe wall ➔ rust (x1)"
JP-3552069-B2,Water distribution amount prediction method and device,13,"obtain, stratify, make, update, predict, select, set, accumulate, create, use, correspond, solve, measure, expect, determine, input, affect, refer, subtract, denote, exclude, calculate, comprise, establish, store","water, date, volume, word, rain, measurement, fluctuation, use, variation, correction, device, temperature, order, problem, regression, portion, sum, pattern, time, product, value, reference, week, prediction, self, creation, method, coefficient, storage, amount, treatment, calculation, data, weather, numeral, component, distribution, day, operation, part, maximum, ratio, plan, expression, system, datum, difference, invention, condition, accumulation, plant, variable, mean, influence, model",,"corresponding to, obtained from, therefore, affected, creating, determine, accumulate, predictive, affect, influence",,"temperature, rain",No sentence-level triplet found,No verb-component-failure triplet found
JP-3553694-B2,Leakage countermeasure device in pure water production equipment,20,"open, keep, produce, detect, base, set, limit, reach, close, continue, take, use, desire, assume, consume, show, become, determine, accord, describe, cause, connect, provide, increase, stop, adopt, turn, supply, maintain, reduce, comprise, install, perform, flow, occur, instal, store, generate, send, employ","water, embodiment, signal, volume, tube, valve, request, case, apparatus, effect, inverter, command, obstacle, us, unit, side, leakage, closing, opening, joint, delay, damage, production, terminal, night, analyzer, order, problem, device, consumer, influence, reason, input, view, result, leak, time, countermeasure, min, range, output, detector, addition, selection, figure, method, storage, number, sensor, amount, example, equipment, state, detection, supply, traffic, circuit, absence, maximum, accident, period, operation, claim, configuration, floor, faucet, invention, tank, pipe, object, transistor, manager, generation, mean, overflow","leak detector, joint, sensor, valve, tank","caused by, effect of, while, therefore, becomes, as a result, because, increases, based on, may, produces, determine, due to, via, influence","obstacles, leak, leakage",,"tank ➔ [based on] ➔ leakage (x1), leak detector ➔ [effect of] ➔ leakage (x1), leak detector ➔ [effect of] ➔ leak (x1)","[ACCORD] ➔ tank ➔ leakage (x1), [BASE] ➔ tank ➔ leakage (x1), [COMPRISE] ➔ tank ➔ leakage (x1)"
JP-3564765-B2,Ground-type water drainer with electric deicing,11,"operate, make, slide, open, lower, enter, cut, drain, forget, bring, screw, solve, have, freeze, rotate, show, attach, move, describe, mount, connect, provide, prevent, turn, energize, interpose","cylinder, wall, inside, water, end, effect, valve, drain, winter, contact, dissolver, unit, action, side, check, resin, joint, screw, port, terminal, body, problem, packing, portion, piston, metal, breaker, drawing, lid, handle, ice, spring, state, ground, part, operation, operating, ring, clip, configuration, faucet, elasticity, box, rod, invention, pipe, section, gap, cover, wastewater, mean, outlet","valve box, joint, valve, check valve, drain","while, therefore, may, due to, via, to prevent",,lid,No sentence-level triplet found,No verb-component-failure triplet found
JP-3574959-B2,Trap for flow sensor of water treatment equipment,8,"mix, make, start, enter, detect, base, notify, use, solve, desire, fill, leave, rotate, show, mount, pass, stop, calculate, perform, flow, prescribe, instal, store","water, electrolysis, signal, ram, cartridge, way, separation, side, cell, top, while, function, user, lack, problem, decision, trap, plate, time, conduit, air, purifier, replacement, data, treatment, sensor, amount, detection, impeller, part, partition, baffle, microcomputer, rate, flow, blade, invention, accuracy, design, rotation, pipe, outlet","conduit, sensor, impeller, flow sensor","while, based on, may, used to, due to, because of",electrolysis,,No sentence-level triplet found,No verb-component-failure triplet found
JP-3576313-B2,Automatic water supply leak prevention device,41,"obtain, operate, slide, open, start, integrate, include, detect, cut, base, set, limit, close, judge, exceed, use, solve, have, measure, detach, show, receive, discharge, determine, result, terminate, leak, time, block, accord, vend, cause, arrange, describe, connect, pass, compare, provide, calculate, shut, turn, supply, transmit, energize, decrease, monitor, perform, wind, flow, adjust, occur, control, store, send, mean","need, process, set, cutoff, opening, use, shutoff, intensity, problem, result, preset, addition, amount, size, supply, accident, corrosion, flow, floor, repair, response, reliability, measurement, damage, monitoring, meter, information, time, output, return, work, state, mistake, condensation, absence, rate, power, pipe, tank, dispenser, failure, integration, dew, valve, display, unit, pulse, timekeeping, device, leak, fact, value, reference, length, machine, electrode, sensor, spring, piping, measuring, emergency, crack, invention, injury, presence, controller, lamp, water, event, means, setting, signal, interior, place, breakage, leakage, closing, watering, art, earthquake, spite, cause, notification, storage, freezing, detection, operation, timing, control, mean, step","sensor, valve, tank, flow sensor","caused by, therefore, as a result, as a result of, cause damage, based on, determines, may, causes, monitoring, via, due to","leaks, corrosion, leak detection, freezing, breakage, leak, leakage",,"valve ➔ [determines] ➔ leakage (x5), valve ➔ [based on] ➔ leakage (x4), valve ➔ [monitoring] ➔ leakage (x4)","[DETERMINE] ➔ valve ➔ leakage (x7), [DETECT] ➔ valve ➔ leakage (x6), [CLOSE] ➔ valve ➔ leakage (x5)"
JP-3577440-B2,Rainwater drainage and cooling system at waste disposal site or outdoor water storage tank,8,"collect, make, drain, accumulate, remove, spray, use, bring, have, shield, discharge, input, cool, block, expose, characterize, increase, blow, prevent, sprinkle, introduce, comprise, absorb, constitute, configure","surface, wall, water, sprinkler, waste, sprinkling, snowmelt, case, valve, contact, gravity, side, cloth, slurry, device, discharge, temperature, embankment, result, portion, input, heat, slope, rainwater, switching, weight, storage, treatment, disposal, site, state, part, cooling, deterioration, outside, plastic, wind, invention, tank, object, plant, pipe, section, sheet, material","discharge pipe, pump, valve, drain, reservoir, tank","as a result, prevented from, increase, used to, configured to, introduced into, due to, remove",shielding,"rainwater, temperature, wind","tank ➔ [configured to] ➔ shielding (x2), drain ➔ [configured to] ➔ shielding (x1), tank ➔ [remove] ➔ shielding (x1)","[CONFIGURE] ➔ tank ➔ shielding (x2), [CHARACTERIZE] ➔ tank ➔ shielding (x1), [CHARACTERIZE] ➔ drain ➔ shielding (x1)"
JP-3577824-B2,pH sensor and ion water generator,28,"obtain, open, start, integrate, inflowe, detect, drain, set, accumulate, remove, display, create, form, propose, continue, instruct, cause, solve, damage, have, measure, adhere, impart, become, discharge, attach, convert, clean, dissolve, send, accord, apply, charge, lock, describe, contain, denote, swirl, grow, ionize, increase, provide, prevent, connect, stabilize, act, collide, turn, mention, dispose, rise, flow, wash, electrolyze, control, equip, generate, activate, mean, direct","space, drain, way, dc, body, problem, discharge, result, portion, swirl, technique, bubble, amount, ac, supply, numeral, advantage, outside, nucleus, flow, calcium, condition, section, surface, guide, cell, precipitate, purification, meter, time, liquid, ml, output, membrane, lock, air, plug, responsiveness, anode, state, potential, part, fiber, solenoid, rate, power, pipe, object, mechanism, embodiment, valve, case, display, unit, side, concentration, conductivity, min, item, carbon, type, plate, film, value, reference, generator, voltage, branch, electrode, sensor, glass, invention, junction, jp, water, electrolysis, means, hydrogen, cathode, action, port, ph, washing, inlet, ion, bottom, connection, example, gas, chamber, component, mineral, operation, control, oxygen, mean, member","discharge pipe, water purification unit, flow meter, inlet, sensor, valve, drain, chamber, solenoid valve","obtained from, integrating, generated by, becomes, therefore, as a result, precipitates, because, common, while, discharged to, via, prevented from, increase, becoming, creating, causes",electrolysis,,"sensor ➔ [generated by] ➔ electrolysis (x4), sensor ➔ [therefore] ➔ electrolysis (x1), discharge pipe ➔ [generated by] ➔ electrolysis (x1)","[CONTAIN] ➔ sensor ➔ electrolysis (x4), [DAMAGE] ➔ sensor ➔ electrolysis (x4), [GENERATE] ➔ sensor ➔ electrolysis (x4)"
JP-3579300-B2,Sewage flow prediction control device,11,"obtain, change, include, convey, predict, pump, base, set, take, use, solve, incorporate, conflict, assume, measure, manage, determine, follow, accord, provide, calculate, mention, supply, comprise, subdivide, plan, utilize, perform, flow, predetermine, control, consider, configure","zone, district, pump, volume, account, use, delay, function, network, order, discharge, problem, result, management, amount, fx, supply, advance, distribution, plan, flow, lag, utilization, parameter, consumption, αxy, division, manner, population, apparatus, qxy, tap, blower, formula, measurement, xy, purification, meter, time, plurality, factor, consideration, area, coefficient, treatment, table, rate, datum, usage, pipe, wastewater, case, well, unit, device, buffer, value, equation, prediction, method, calculation, capacity, piping, sewage, inflow, drainage, invention, controller, water, change, level, objective, practice, qs, purpose, drinking, storage, pumping, equipment, operation, difference, engineering, fxxy, control, plant, oxygen, mean, processing","pump, piping network","pumped from, obtained from, factor, therefore, because, based on, determine, due to, predictive",,water level,No sentence-level triplet found,No verb-component-failure triplet found
JP-3581362-B1,Alkaline ion water purifier,14,"need, open, produce, sandwich, break, base, form, close, have, discharge, hinder, apply, describe, arrange, hold, ionize, connect, provide, prevent, introduce, fix, supply, dispose, suppress, face, absorb, deform, constitute, store, generate","surface, region, water, change, embodiment, conditioner, space, end, aspect, signal, valve, tap, breakage, cell, side, deformation, spacer, port, damage, alkali, body, communication, hole, ion, discharge, order, flexibility, reason, portion, film, layer, pressure, membrane, exchange, air, purifier, connection, electrode, example, regulator, pair, part, switch, outside, drainage, flow, difference, tank, pipe, dispenser, bath, member","discharge pipe, drainage pipe, inlet, valve, tank, regulator","generated by, therefore, discharged to, based on, introduced into, break, produces, due to","breakage, deformation",,"regulator ➔ [therefore] ➔ breakage (x1), regulator ➔ [therefore] ➔ deformation (x1)","[PREVENT] ➔ regulator ➔ breakage (x1), [PREVENT] ➔ regulator ➔ deformation (x1), [PROVIDE] ➔ regulator ➔ breakage (x1)"
JP-3584308-B2,Method for monitoring breakthrough of ion adsorption membrane for ultrapure water production,1,"reduce, exceed, tend, become, withstand, form","hand, chelate, use, milliequivalent, change, exchange, membrane, term, strength, amount, ion, group, gram",,becomes,sci,hand,No sentence-level triplet found,No verb-component-failure triplet found
JP-3584594-B2,pH sensor and ion water generator,29,"obtain, open, start, integrate, inflowe, detect, set, accumulate, remove, display, form, propose, continue, instruct, solve, damage, have, measure, adhere, impart, become, discharge, attach, convert, clean, dissolve, send, accord, apply, charge, intersect, describe, contain, denote, cause, grow, ionize, increase, provide, prevent, characterize, stabilize, connect, collide, turn, mention, dispose, rise, flow, wash, electrolyze, control, equip, generate, activate, mean, direct","velocity, space, volume, drain, way, dc, body, problem, discharge, result, portion, technique, bubble, amount, ac, supply, numeral, advantage, outside, nucleus, flow, calcium, condition, fluid, section, pivot, response, surface, cell, extension, precipitate, cm, plane, purification, meter, time, liquid, ml, output, membrane, air, plug, responsiveness, anode, state, potential, direction, part, fiber, solenoid, rate, power, pipe, object, embodiment, valve, case, display, unit, side, concentration, conductivity, min, carbon, type, plate, film, value, reference, generator, voltage, branch, electrode, sensor, glass, invention, junction, jp, water, electrolysis, means, hydrogen, discharger, cathode, ph, washing, inlet, ion, angle, connection, example, gas, chamber, component, mineral, operation, axis, control, oxygen, mean","discharge pipe, water purification unit, flow meter, inlet, sensor, valve, drain, chamber, solenoid valve","obtained from, integrating, generated by, becomes, therefore, as a result, precipitates, because, discharged to, while, via, prevented from, increase, may, becoming, causes, remove",electrolysis,,"sensor ➔ [generated by] ➔ electrolysis (x4), sensor ➔ [therefore] ➔ electrolysis (x1), inlet ➔ [prevented from] ➔ electrolysis (x1)","[CONTAIN] ➔ sensor ➔ electrolysis (x4), [DAMAGE] ➔ sensor ➔ electrolysis (x4), [GENERATE] ➔ sensor ➔ electrolysis (x4)"
JP-3591018-B2,Ground-type water drainer with electric deicing,12,"make, operate, lower, start, enter, descend, drain, thaw, form, screw, solve, freeze, rotate, show, attach, pull, describe, connect, prevent, inspect, turn, energize, establish, come","wall, protection, water, end, tube, stopper, effect, valve, drain, winter, contact, unit, side, check, resin, joint, screw, port, terminal, body, problem, breaker, metal, piston, lid, handle, connection, cap, ice, fig, example, conductor, state, ground, accident, operation, advantage, clip, outside, drainage, faucet, invention, box, rod, pipe, outflow, section, wastewater, mean, outlet","valve box, joint, valve, drain, check valve","therefore, may, due to, via, to prevent",freezing,lid,No sentence-level triplet found,No verb-component-failure triplet found
JP-3597417-B2,"Muddy water shield method, method for treating earth and sand, and modifier",6,"lower, excavate, base, drive, form, feed, take, use, correspond, grain, discharge, treat, accord, contain, connect, provide, increase, supply, dispose, comprise, generate, send","hand, wall, water, waste, solid, sand, ash, modifier, mixture, mud, clay, silt, fly, shield, oxide, order, type, sediment, groundwater, liquid, carbonate, powder, pressure, soil, solidification, weight, drilling, machine, method, chamber, cutter, part, partition, shielding, material, claim, gypsum, ratio, strength, blade, calcium, combination, content, pipe, stirring, motor",chamber,"thus, corresponding to, generated by, driven by, based on, increase",shielding,"hand, clay, ash",No sentence-level triplet found,No verb-component-failure triplet found
JP-3597455-B2,Water pressure tester for small and medium diameter pipes,15,"need, include, say, seat, remove, push, form, conduct, seal, use, communicate, have, spread, show, become, determine, cast, find, move, follow, backfille, consist, bridge, describe, mount, hold, connect, provide, prevent, inspect, complete, fix, mention, dispose, identify, comprise, face, perform, interpose, exist, predetermine, fit, occur, confirm, dig, employ, join, drop, subject","distance, inside, structure, water, mm, front, embodiment, expansion, end, injection, middle, tube, space, case, wheel, side, leakage, diameter, opening, joint, test, screw, port, iron, inspection, body, reason, flexibility, result, portion, plate, leak, location, holding, pressure, addition, performance, periphery, example, work, interval, sidewall, piping, watertightness, fig, rubber, exhaust, direction, quality, ring, position, infusion, shape, system, flow, power, parallel, rod, pipe, gap, spacing, tester, flange, failure, member","joint, flange","thus, becomes, therefore, shape, may, due to, via, remove, to prevent, identify, thereby","leak, leakage",hydraulic pressure,"joint ➔ [due to] ➔ leak (x1), joint ➔ [therefore] ➔ leakage (x1), joint ➔ [remove] ➔ leakage (x1)","[CONDUCT] ➔ joint ➔ leak (x1), [FIND] ➔ joint ➔ leak (x1), [PUSH] ➔ joint ➔ leak (x1)"
JP-3602886-B2,Electrode type water treatment equipment with solution concentration detection function,14,"open, deposit, detect, omit, drain, set, reach, close, intend, precipitate, show, become, determine, cool, accord, output, apply, mount, provide, prevent, stop, reform, supply, reduce, suppress, perform, configure, mean, add","inside, water, level, embodiment, step, pump, end, signal, injection, valve, drain, apparatus, command, tap, unit, replenishment, enrichment, type, time, like, output, boiler, tower, method, electrode, treatment, blow, fig, stop, example, sensor, period, supply, component, circulation, operation, ball, scale, configuration, adjustment, drainage, float, timer, system, precipitation, control, pipe, tank, blowing","pump, sensor, valve, drain, tank","becomes, therefore, determines, prevented from, configured to, may, to prevent, thereby",deposits,"precipitation, water level",No sentence-level triplet found,No verb-component-failure triplet found
JP-3605625-B2,Externally added water softener for electrical equipment,3,"close, reproduce, comprise, open, accord, depend, reclaim, solve, have, detect, connect, provide, instal, show, achieve, regenerate, add","flooding, water, embodiment, expansion, case, valve, hardware, detail, resin, port, inlet, casing, device, hole, ion, order, problem, input, type, softener, exchange, fig, safety, detection, chamber, supply, circuit, inflow, term, configuration, drainage, rate, flow, invention, control, pipe, object, mean, outlet, material","check valve, discharge pipe, chamber, valve",common,,flooding,No sentence-level triplet found,No verb-component-failure triplet found
